MANDT,MATNR,SPRAS,MAKTX,MAKTG
100,MAT0001907,E,A arte de conseguir mais facilmente,A ARTE DE CONSEGUIR MAIS FACILMENTE
100,MAT0000045,F,Adaptive composite paradigm,ADAPTIVE COMPOSITE PARADIGM
100,MAT0001140,F,Down-sized zero tolerance function,DOWN-SIZED ZERO TOLERANCE FUNCTION
100,MAT0000605,F,Le pouvoir de concrétiser vos projets à ,LE POUVOIR DE CONCRÉTISER VOS PROJETS À
100,MAT0000237,E,Front-line reciprocal knowledgebase,FRONT-LINE RECIPROCAL KNOWLEDGEBASE
100,MAT0001146,J,Face-to-face next generation structure   ,FACE-TO-FACE NEXT GENERATION STRUCTURE
100,MAT0000549,D,Cross-platform object-oriented definitio,CROSS-PLATFORM OBJECT-ORIENTED DEFINITIO
100,MAT0001648,P,Seamless coherent capability,SEAMLESS COHERENT CAPABILITY
100,MAT0001332,P,O prazer de conseguir em estado puro,O PRAZER DE CONSEGUIR EM ESTADO PURO
100,MAT0001104,F,Quality-focused tertiary conglomeration,QUALITY-FOCUSED TERTIARY CONGLOMERATION
100,MAT0000047,E,Sharable client-driven groupware   ,SHARABLE CLIENT-DRIVEN GROUPWARE
100,MAT0001513,E,Integrated holistic process improvement   ,INTEGRATED HOLISTIC PROCESS IMPROVEMENT
100,MAT0000743,E,Customizable logistical benchmark,CUSTOMIZABLE LOGISTICAL BENCHMARK
100,MAT0000441,F,Cross-group non-volatile core,CROSS-GROUP NON-VOLATILE CORE
100,MAT0000444,P,Reverse-engineered static architecture,REVERSE-ENGINEERED STATIC ARCHITECTURE
100,MAT0001680,P,Function-based composite parallelism,FUNCTION-BASED COMPOSITE PARALLELISM
100,MAT0001019,F,Implemented interactive data-warehouse,IMPLEMENTED INTERACTIVE DATA-WAREHOUSE
100,MAT0000467,P,User-centric analyzing system engine   ,USER-CENTRIC ANALYZING SYSTEM ENGINE
100,MZ-FG-R200,P,O prazer de conseguir mais rapidamente,O PRAZER DE CONSEGUIR MAIS RAPIDAMENTE
100,MAT0000083,F,Monitored dynamic benchmark,MONITORED DYNAMIC BENCHMARK
100,MAT0001321,F,Customer-focused intangible data-warehou,CUSTOMER-FOCUSED INTANGIBLE DATA-WAREHOU
100,MAT0001781,P,O conforto de realizar seus sonhos mais    ,O CONFORTO DE REALIZAR SEUS SONHOS MAIS
100,MAT0000820,J,Customer-focused disintermediate custome   ,CUSTOMER-FOCUSED DISINTERMEDIATE CUSTOME
100,MAT0000087,J,Le plaisir de concrétiser vos projets pl   ,LE PLAISIR DE CONCRÉTISER VOS PROJETS PL
100,MAT0000616,J,Pre-emptive executive service-desk   ,PRE-EMPTIVE EXECUTIVE SERVICE-DESK
100,MAT0000886,P,Customizable intermediate open architect,CUSTOMIZABLE INTERMEDIATE OPEN ARCHITECT
100,MAT0000891,J,Focused bi-directional ability,FOCUSED BI-DIRECTIONAL ABILITY
100,MAT0001120,P,A liberdade de evoluir mais rapidamente,A LIBERDADE DE EVOLUIR MAIS RAPIDAMENTE
100,MAT0000064,J,Front-line intermediate conglomeration   ,FRONT-LINE INTERMEDIATE CONGLOMERATION
100,MAT0001447,D,Visionary non-volatile projection   ,VISIONARY NON-VOLATILE PROJECTION
100,MAT0000519,F,A possibilidade de concretizar seus proj,A POSSIBILIDADE DE CONCRETIZAR SEUS PROJ
100,MAT0001125,J,Multi-lateral 24hour neural-net   ,MULTI-LATERAL 24HOUR NEURAL-NET
100,MAT0001258,D,O poder de ganhar em estado puro,O PODER DE GANHAR EM ESTADO PURO
100,MAT0000690,J,Future-proofed tertiary function,FUTURE-PROOFED TERTIARY FUNCTION
100,MAT0001418,D,L'avantage de louer à la pointe,L'AVANTAGE DE LOUER À LA POINTE
100,MAT0000817,D,O conforto de mudar com força total,O CONFORTO DE MUDAR COM FORÇA TOTAL
100,MAT0000557,J,Extended background synergy,EXTENDED BACKGROUND SYNERGY
100,MAT0000588,D,Enterprise-wide web-enabled functionalit,ENTERPRISE-WIDE WEB-ENABLED FUNCTIONALIT
100,MAT0000228,F,Total radical strategy,TOTAL RADICAL STRATEGY
100,MAT0000125,E,Stand-alone logistical solution,STAND-ALONE LOGISTICAL SOLUTION
100,MAT0000185,E,Organic demand-driven database,ORGANIC DEMAND-DRIVEN DATABASE
100,MAT0000459,E,Compatible human-resource website,COMPATIBLE HUMAN-RESOURCE WEBSITE
100,MAT0000742,J,Optional cohesive help-desk   ,OPTIONAL COHESIVE HELP-DESK
100,MAT0000309,D,Function-based 3rdgeneration middleware,FUNCTION-BASED 3RDGENERATION MIDDLEWARE
100,MAT0001843,F,A certeza de atingir seus objetivos mais,A CERTEZA DE ATINGIR SEUS OBJETIVOS MAIS
100,MAT0000306,J,Multi-layered composite matrix,MULTI-LAYERED COMPOSITE MATRIX
100,MAT0001873,D,Le confort de rouler à la pointe,LE CONFORT DE ROULER À LA POINTE
100,MAT0001225,D,La possibilité de louer autrement,LA POSSIBILITÉ DE LOUER AUTREMENT
100,MAT0000425,D,A simplicidade de avançar direto da font,A SIMPLICIDADE DE AVANÇAR DIRETO DA FONT
100,MAT0001065,J,Cross-group responsive projection   ,CROSS-GROUP RESPONSIVE PROJECTION
100,MAT0000940,E,Multi-lateral logistical capability,MULTI-LATERAL LOGISTICAL CAPABILITY
100,MAT0001853,D,Re-engineered heuristic array,RE-ENGINEERED HEURISTIC ARRAY
100,MAT0001155,D,Right-sized hybrid adapter   ,RIGHT-SIZED HYBRID ADAPTER
100,MAT0001927,F,Sharable directional alliance,SHARABLE DIRECTIONAL ALLIANCE
100,MAT0000201,E,Programmable homogeneous productivity,PROGRAMMABLE HOMOGENEOUS PRODUCTIVITY
100,MAT0000081,P,Business-focused reciprocal Internet sol,BUSINESS-FOCUSED RECIPROCAL INTERNET SOL
100,MAT0000744,D,O poder de conseguir com toda a tranquil   ,O PODER DE CONSEGUIR COM TODA A TRANQUIL
100,MAT0001258,E,User-centric eco-centric installation,USER-CENTRIC ECO-CENTRIC INSTALLATION
100,MAT0000798,P,Realigned uniform strategy,REALIGNED UNIFORM STRATEGY
100,MAT0001115,D,La possibilité d'innover autrement   ,LA POSSIBILITÉ D'INNOVER AUTREMENT
100,MAT0001647,J,Profit-focused mission-critical success,PROFIT-FOCUSED MISSION-CRITICAL SUCCESS
100,MAT0001040,F,A vantagem de atingir seus objetivos com,A VANTAGEM DE ATINGIR SEUS OBJETIVOS COM
100,MAT0001901,F,Programmable multi-tasking definition,PROGRAMMABLE MULTI-TASKING DEFINITION
100,MAT0001861,J,User-centric zero-defect hardware,USER-CENTRIC ZERO-DEFECT HARDWARE
100,MAT0001563,J,A certeza de atingir seus objetivos de m,A CERTEZA DE ATINGIR SEUS OBJETIVOS DE M
100,MAT0000876,E,Customer-focused multimedia framework,CUSTOMER-FOCUSED MULTIMEDIA FRAMEWORK
100,MAT0000638,F,A possibilidade de realizar seus sonhos    ,A POSSIBILIDADE DE REALIZAR SEUS SONHOS
100,MZ-FG-E103,D,Customizable content-based Graphic Inter,CUSTOMIZABLE CONTENT-BASED GRAPHIC INTER
100,MAT0000886,E,Devolved responsive data-warehouse   ,DEVOLVED RESPONSIVE DATA-WAREHOUSE
100,MAT0001293,P,A simplicidade de concretizar seus proje,A SIMPLICIDADE DE CONCRETIZAR SEUS PROJE
100,MAT0001436,P,O prazer de avançar sem preocupação   ,O PRAZER DE AVANÇAR SEM PREOCUPAÇÃO
100,MAT0000453,E,Up-sized zero-defect function,UP-SIZED ZERO-DEFECT FUNCTION
100,MAT0001474,E,Expanded bottom-line artificial intellig,EXPANDED BOTTOM-LINE ARTIFICIAL INTELLIG
100,MAT0001526,J,Le confort d'atteindre vos buts à l'état,LE CONFORT D'ATTEINDRE VOS BUTS À L'ÉTAT
100,MAT0001833,E,L'art d'évoluer autrement,L'ART D'ÉVOLUER AUTREMENT
100,MAT0000879,P,Progressive holistic project   ,PROGRESSIVE HOLISTIC PROJECT
100,MAT0001490,J,A possibilidade de conseguir com confian,A POSSIBILIDADE DE CONSEGUIR COM CONFIAN
100,MAT0001389,F,Multi-layered uniform data-warehouse,MULTI-LAYERED UNIFORM DATA-WAREHOUSE
100,MAT0000111,D,Digitized multi-tasking productivity,DIGITIZED MULTI-TASKING PRODUCTIVITY
100,MAT0001012,P,Fundamental uniform paradigm,FUNDAMENTAL UNIFORM PARADIGM
100,MAT0000499,J,Right-sized foreground emulation,RIGHT-SIZED FOREGROUND EMULATION
100,MAT0001443,F,Automated actuating neural-net,AUTOMATED ACTUATING NEURAL-NET
100,MAT0001562,F,O direito de ganhar com confiança,O DIREITO DE GANHAR COM CONFIANÇA
100,MAT0000599,E,A arte de evoluir sem preocupação   ,A ARTE DE EVOLUIR SEM PREOCUPAÇÃO
100,MAT0000317,D,L'avantage de rouler plus facilement,L'AVANTAGE DE ROULER PLUS FACILEMENT
100,MAT0001196,J,Le droit d'évoluer en toute tranquilité,LE DROIT D'ÉVOLUER EN TOUTE TRANQUILITÉ
100,MAT0000003,D,Organic full-range capacity,ORGANIC FULL-RANGE CAPACITY
100,MAT0000778,F,Object-based systematic frame,OBJECT-BASED SYSTEMATIC FRAME
100,MAT0000397,E,Right-sized 24hour support,RIGHT-SIZED 24HOUR SUPPORT
100,MAT0001474,E,Managed demand-driven portal,MANAGED DEMAND-DRIVEN PORTAL
100,MAT0000870,E,Le confort de louer de manière sûre,LE CONFORT DE LOUER DE MANIÈRE SÛRE
100,MAT0000871,F,Extended content-based budgetary managem   ,EXTENDED CONTENT-BASED BUDGETARY MANAGEM
100,MAT0000461,D,A possibilidade de mudar em estado puro,A POSSIBILIDADE DE MUDAR EM ESTADO PURO
100,MAT0000061,D,Vision-oriented interactive moderator,VISION-ORIENTED INTERACTIVE MODERATOR
100,MAT0001840,J,Open-source directional support   ,OPEN-SOURCE DIRECTIONAL SUPPORT
100,MAT0001408,E,Object-based foreground benchmark,OBJECT-BASED FOREGROUND BENCHMARK
100,MAT0000622,J,Le droit de louer de manière efficace,LE DROIT DE LOUER DE MANIÈRE EFFICACE
100,MAT0001172,D,La possibilité de changer à sa source,LA POSSIBILITÉ DE CHANGER À SA SOURCE
100,MAT0001589,E,A arte de avançar com força total   ,A ARTE DE AVANÇAR COM FORÇA TOTAL
100,MAT0001032,J,A liberdade de avançar mais facilmente,A LIBERDADE DE AVANÇAR MAIS FACILMENTE
100,MAT0001160,P,Synergistic secondary paradigm,SYNERGISTIC SECONDARY PARADIGM
100,MAT0000475,J,Synergized methodical software   ,SYNERGIZED METHODICAL SOFTWARE
100,MAT0000412,F,Fully-configurable responsive utilizatio,FULLY-CONFIGURABLE RESPONSIVE UTILIZATIO
100,MAT0000173,E,Assimilated disintermediate ability,ASSIMILATED DISINTERMEDIATE ABILITY
100,MAT0001669,J,Function-based non-volatile projection,FUNCTION-BASED NON-VOLATILE PROJECTION
100,MAT0000884,P,Front-line neutral paradigm   ,FRONT-LINE NEUTRAL PARADIGM
100,MAT0001427,F,Open-source static paradigm,OPEN-SOURCE STATIC PARADIGM
100,MAT0000239,P,Grass-roots explicit methodology,GRASS-ROOTS EXPLICIT METHODOLOGY
100,MAT0000488,E,L'art de changer de manière sûre,L'ART DE CHANGER DE MANIÈRE SÛRE
100,MAT0000457,P,Innovative exuding definition   ,INNOVATIVE EXUDING DEFINITION
100,MAT0001469,J,Integrated directional matrices,INTEGRATED DIRECTIONAL MATRICES
100,MAT0000437,D,Team-oriented upward-trending Internet s,TEAM-ORIENTED UPWARD-TRENDING INTERNET S
100,MAT0001832,F,Enhanced disintermediate customer loyalt   ,ENHANCED DISINTERMEDIATE CUSTOMER LOYALT
100,MAT0001033,E,Front-line background framework,FRONT-LINE BACKGROUND FRAMEWORK
100,MAT0000543,J,Streamlined real-time circuit,STREAMLINED REAL-TIME CIRCUIT
100,MAT0001023,E,Cross-platform maximized superstructure,CROSS-PLATFORM MAXIMIZED SUPERSTRUCTURE
100,MAT0000363,D,Le confort d'atteindre vos buts plus rap,LE CONFORT D'ATTEINDRE VOS BUTS PLUS RAP
100,MAT0000269,F,Quality-focused leadingedge open archite,QUALITY-FOCUSED LEADINGEDGE OPEN ARCHITE
100,MAT0001822,P,Profit-focused disintermediate conglomer,PROFIT-FOCUSED DISINTERMEDIATE CONGLOMER
100,MAT0001270,J,A simplicidade de evoluir em estado puro,A SIMPLICIDADE DE EVOLUIR EM ESTADO PURO
100,MAT0000123,P,User-friendly zero-defect architecture,USER-FRIENDLY ZERO-DEFECT ARCHITECTURE
100,MAT0001130,P,Le plaisir d'évoluer à l'état pur   ,LE PLAISIR D'ÉVOLUER À L'ÉTAT PUR
100,MAT0001895,J,Reduced leadingedge Internet solution,REDUCED LEADINGEDGE INTERNET SOLUTION
100,MAT0000393,J,Le droit de louer sans soucis   ,LE DROIT DE LOUER SANS SOUCIS
100,MAT0000918,J,Innovative 3rdgeneration concept,INNOVATIVE 3RDGENERATION CONCEPT
100,MAT0001904,E,Multi-layered 3rdgeneration collaboratio,MULTI-LAYERED 3RDGENERATION COLLABORATIO
100,MAT0001076,E,Profit-focused asymmetric service-desk,PROFIT-FOCUSED ASYMMETRIC SERVICE-DESK
100,MAT0000852,F,Mandatory modular core   ,MANDATORY MODULAR CORE
100,MAT0001505,J,A certeza de conseguir em estado puro,A CERTEZA DE CONSEGUIR EM ESTADO PURO
100,MAT0000043,D,Profound bandwidth-monitored product,PROFOUND BANDWIDTH-MONITORED PRODUCT
100,MAT0000964,D,Up-sized disintermediate framework   ,UP-SIZED DISINTERMEDIATE FRAMEWORK
100,MAT0001186,F,Up-sized neutral alliance,UP-SIZED NEUTRAL ALLIANCE
100,MAT0001473,F,Progressive exuding approach,PROGRESSIVE EXUDING APPROACH
100,MAT0000021,D,Cloned 24/7 instruction set,CLONED 24/7 INSTRUCTION SET
100,MAT0001607,D,L'avantage de rouler plus rapidement   ,L'AVANTAGE DE ROULER PLUS RAPIDEMENT
100,MAT0001220,P,Secured fault-tolerant success   ,SECURED FAULT-TOLERANT SUCCESS
100,MAT0000396,D,O prazer de realizar seus sonhos com con   ,O PRAZER DE REALIZAR SEUS SONHOS COM CON
100,MAT0000653,D,Balanced methodical portal,BALANCED METHODICAL PORTAL
100,MAT0000064,F,L'assurance d'avancer à l'état pur,L'ASSURANCE D'AVANCER À L'ÉTAT PUR
100,MAT0001801,D,Up-sized composite throughput,UP-SIZED COMPOSITE THROUGHPUT
100,MAT0000236,J,Business-focused 4thgeneration middlewar,BUSINESS-FOCUSED 4THGENERATION MIDDLEWAR
100,MAT0001129,D,Integrated 6thgeneration archive,INTEGRATED 6THGENERATION ARCHIVE
100,MAT0001252,D,Mandatory client-driven secured line,MANDATORY CLIENT-DRIVEN SECURED LINE
100,MAT0001939,J,Total high-level support,TOTAL HIGH-LEVEL SUPPORT
100,MAT0001380,E,Profit-focused incremental success,PROFIT-FOCUSED INCREMENTAL SUCCESS
100,MAT0001370,D,Automated asynchronous implementation,AUTOMATED ASYNCHRONOUS IMPLEMENTATION
100,MAT0000036,D,A vantagem de inovar em estado puro,A VANTAGEM DE INOVAR EM ESTADO PURO
100,MAT0000195,E,A certeza de concretizar seus projetos e,A CERTEZA DE CONCRETIZAR SEUS PROJETOS E
100,MAT0001537,E,Profit-focused 3rdgeneration Graphical U,PROFIT-FOCUSED 3RDGENERATION GRAPHICAL U
100,MAT0001167,E,Multi-lateral 24hour hardware   ,MULTI-LATERAL 24HOUR HARDWARE
100,MAT0001805,E,Function-based systemic firmware   ,FUNCTION-BASED SYSTEMIC FIRMWARE
100,MAT0000833,E,Business-focused contextually-based succ   ,BUSINESS-FOCUSED CONTEXTUALLY-BASED SUCC
100,MAT0000796,J,L'avantage d'avancer en toute tranquilit,L'AVANTAGE D'AVANCER EN TOUTE TRANQUILIT
100,MAT0000517,E,Upgradable holistic circuit   ,UPGRADABLE HOLISTIC CIRCUIT
100,MAT0000854,P,Proactive 4thgeneration extranet,PROACTIVE 4THGENERATION EXTRANET
100,MAT0001209,E,Virtual 5thgeneration Graphical User Int   ,VIRTUAL 5THGENERATION GRAPHICAL USER INT
100,MAT0000219,F,Expanded object-oriented time-frame,EXPANDED OBJECT-ORIENTED TIME-FRAME
100,MAT0000728,D,Assimilated even-keeled circuit,ASSIMILATED EVEN-KEELED CIRCUIT
100,MAT0000286,J,A vantagem de atingir seus objetivos mai,A VANTAGEM DE ATINGIR SEUS OBJETIVOS MAI
100,MAT0000666,E,Open-architected 3rdgeneration model,OPEN-ARCHITECTED 3RDGENERATION MODEL
100,MAT0001290,F,L'art de concrétiser vos projets en tout   ,L'ART DE CONCRÉTISER VOS PROJETS EN TOUT
100,MAT0000225,D,Automated incremental task-force,AUTOMATED INCREMENTAL TASK-FORCE
100,MAT0001349,F,Le confort de rouler autrement,LE CONFORT DE ROULER AUTREMENT
100,MAT0000221,D,A arte de avançar com força total   ,A ARTE DE AVANÇAR COM FORÇA TOTAL
100,MAT0001530,F,Phased hybrid open system   ,PHASED HYBRID OPEN SYSTEM
100,MAT0000815,F,Persevering systemic encoding,PERSEVERING SYSTEMIC ENCODING
100,MAT0001259,J,A arte de atingir seus objetivos em esta,A ARTE DE ATINGIR SEUS OBJETIVOS EM ESTA
100,MAT0000435,D,Phased explicit data-warehouse,PHASED EXPLICIT DATA-WAREHOUSE
100,MAT0001599,J,Streamlined next generation synergy,STREAMLINED NEXT GENERATION SYNERGY
100,MAT0000110,D,Managed reciprocal service-desk   ,MANAGED RECIPROCAL SERVICE-DESK
100,MAT0000229,J,Digitized national toolset,DIGITIZED NATIONAL TOOLSET
100,MAT0001555,F,Cross-platform interactive Local Area Ne,CROSS-PLATFORM INTERACTIVE LOCAL AREA NE
100,MAT0001370,P,L'art d'atteindre vos buts en toute tran   ,L'ART D'ATTEINDRE VOS BUTS EN TOUTE TRAN
100,MAT0000835,E,Intuitive neutral approach,INTUITIVE NEUTRAL APPROACH
100,MAT0000955,J,Secured multimedia throughput   ,SECURED MULTIMEDIA THROUGHPUT
100,MAT0001383,F,O conforto de realizar seus sonhos mais ,O CONFORTO DE REALIZAR SEUS SONHOS MAIS
100,MAT0001858,F,Switchable regional core   ,SWITCHABLE REGIONAL CORE
100,MAT0000796,P,Organized context-sensitive time-frame,ORGANIZED CONTEXT-SENSITIVE TIME-FRAME
100,MAT0000489,E,Cloned transitional installation,CLONED TRANSITIONAL INSTALLATION
100,MAT0001712,J,Object-based tertiary open architecture   ,OBJECT-BASED TERTIARY OPEN ARCHITECTURE
100,MAT0001674,D,Implemented systemic budgetary managemen   ,IMPLEMENTED SYSTEMIC BUDGETARY MANAGEMEN
100,MAT0001313,D,Team-oriented analyzing instruction set,TEAM-ORIENTED ANALYZING INSTRUCTION SET
100,MAT0001853,F,A arte de conseguir em estado puro,A ARTE DE CONSEGUIR EM ESTADO PURO
100,MAT0001107,F,Up-sized dedicated customer loyalty,UP-SIZED DEDICATED CUSTOMER LOYALTY
100,MAT0001914,P,A simplicidade de mudar com toda a tranq,A SIMPLICIDADE DE MUDAR COM TODA A TRANQ
100,MAT0000698,F,Progressive 24hour projection,PROGRESSIVE 24HOUR PROJECTION
100,MAT0000641,J,Reactive zero tolerance matrices,REACTIVE ZERO TOLERANCE MATRICES
100,MAT0001174,D,L'avantage d'avancer de manière sûre,L'AVANTAGE D'AVANCER DE MANIÈRE SÛRE
100,MAT0001762,P,La possibilité d'évoluer autrement,LA POSSIBILITÉ D'ÉVOLUER AUTREMENT
100,MAT0001344,E,Multi-lateral homogeneous orchestration   ,MULTI-LATERAL HOMOGENEOUS ORCHESTRATION
100,MAT0001814,F,Function-based motivating encoding,FUNCTION-BASED MOTIVATING ENCODING
100,MAT0000885,F,Virtual discrete software,VIRTUAL DISCRETE SOFTWARE
100,MAT0000283,F,Team-oriented didactic database   ,TEAM-ORIENTED DIDACTIC DATABASE
100,MAT0001500,F,Switchable coherent secured line,SWITCHABLE COHERENT SECURED LINE
100,MAT0001094,F,Multi-channeled modular concept,MULTI-CHANNELED MODULAR CONCEPT
100,MAT0000657,F,Integrated zero tolerance moderator,INTEGRATED ZERO TOLERANCE MODERATOR
100,MAT0000513,D,L'avantage de louer de manière sûre   ,L'AVANTAGE DE LOUER DE MANIÈRE SÛRE
100,MAT0001107,P,Multi-tiered optimizing matrix,MULTI-TIERED OPTIMIZING MATRIX
100,MAT0000513,P,Balanced coherent open system,BALANCED COHERENT OPEN SYSTEM
100,MAT0000120,E,Cross-platform asynchronous info-mediari,CROSS-PLATFORM ASYNCHRONOUS INFO-MEDIARI
100,MAT0001034,P,A arte de mudar em estado puro,A ARTE DE MUDAR EM ESTADO PURO
100,MAT0001259,P,Le plaisir d'avancer à l'état pur   ,LE PLAISIR D'AVANCER À L'ÉTAT PUR
100,MAT0001142,D,Switchable human-resource parallelism,SWITCHABLE HUMAN-RESOURCE PARALLELISM
100,MAT0000677,E,Multi-lateral executive support,MULTI-LATERAL EXECUTIVE SUPPORT
100,MAT0001419,F,Monitored 3rdgeneration definition,MONITORED 3RDGENERATION DEFINITION
100,MAT0000643,F,Digitized full-range structure   ,DIGITIZED FULL-RANGE STRUCTURE
100,MAT0000993,P,La possibilité de rouler à sa source,LA POSSIBILITÉ DE ROULER À SA SOURCE
100,MAT0001661,F,L'assurance d'innover à sa source   ,L'ASSURANCE D'INNOVER À SA SOURCE
100,MAT0001098,P,Enterprise-wide executive help-desk,ENTERPRISE-WIDE EXECUTIVE HELP-DESK
100,MAT0001934,P,Profit-focused responsive encryption,PROFIT-FOCUSED RESPONSIVE ENCRYPTION
100,MAT0001833,P,Expanded zero administration attitude,EXPANDED ZERO ADMINISTRATION ATTITUDE
100,MAT0000741,E,Persevering motivating encryption,PERSEVERING MOTIVATING ENCRYPTION
100,MAT0001600,J,Implemented exuding firmware,IMPLEMENTED EXUDING FIRMWARE
100,MAT0001609,D,Le plaisir d'avancer de manière efficace,LE PLAISIR D'AVANCER DE MANIÈRE EFFICACE
100,MAT0000507,J,La liberté de rouler de manière efficace   ,LA LIBERTÉ DE ROULER DE MANIÈRE EFFICACE
100,MAT0001250,P,Fundamental radical hub,FUNDAMENTAL RADICAL HUB
100,MAT0000995,E,Horizontal human-resource definition,HORIZONTAL HUMAN-RESOURCE DEFINITION
100,MAT0000684,J,L'art d'innover à sa source   ,L'ART D'INNOVER À SA SOURCE
100,MAT0000182,P,Proactive explicit architecture   ,PROACTIVE EXPLICIT ARCHITECTURE
